season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2019/20,2019-08-11,Arsenal,Newcastle,Away,1,0,3,1.13,0.38,Unai Emery,permanent,1.6
2019/20,2019-08-17,Arsenal,Burnley,Home,2,1,3,1.16,1.39,Unai Emery,permanent,1.6
2019/20,2019-08-24,Arsenal,Liverpool,Away,1,3,0,0.99,2.79,Unai Emery,permanent,1.3
2019/20,2019-09-01,Arsenal,Tottenham,Home,2,2,1,1.93,1.96,Unai Emery,permanent,1.4
2019/20,2019-09-15,Arsenal,Watford,Away,2,2,1,1.01,2.83,Unai Emery,permanent,1.2
2019/20,2019-09-22,Arsenal,Aston Villa,Home,3,2,3,2.53,1.72,Unai Emery,permanent,1.5
2019/20,2019-09-30,Arsenal,Man United,Away,1,1,1,1.7,1.13,Unai Emery,permanent,1.6
2019/20,2019-10-06,Arsenal,Bournemouth,Home,1,0,3,1.24,0.68,Unai Emery,permanent,1.9
2019/20,2019-10-21,Arsenal,Sheffield United,Away,0,1,0,0.95,0.9,Unai Emery,permanent,1.8
2019/20,2019-10-27,Arsenal,Crystal Palace,Home,2,2,1,1.54,1.78,Unai Emery,permanent,1.6
2019/20,2019-11-02,Arsenal,Wolves,Home,1,1,1,1.03,1.51,Unai Emery,permanent,1.4
2019/20,2019-11-09,Arsenal,Leicester,Away,0,2,0,0.96,1.37,Unai Emery,permanent,1.1
2019/20,2019-11-23,Arsenal,Southampton,Home,2,2,1,1.61,2.6,Unai Emery,permanent,1.2
2019/20,2019-12-01,Arsenal,Norwich,Away,2,2,1,1.96,0.81,Freddie Ljungberg,caretaker,1.2
2019/20,2019-12-05,Arsenal,Brighton,Home,1,2,0,0.97,1.53,Freddie Ljungberg,caretaker,1.1
2019/20,2019-12-09,Arsenal,West Ham,Away,3,1,3,1.79,0.52,Freddie Ljungberg,caretaker,1.1
2019/20,2019-12-15,Arsenal,Man City,Home,0,3,0,0.28,1.7,Freddie Ljungberg,caretaker,1.0
2019/20,2019-12-21,Arsenal,Everton,Away,0,0,1,0.88,0.49,Freddie Ljungberg,caretaker,0.8
2019/20,2019-12-26,Arsenal,Bournemouth,Away,1,1,1,1.42,1.55,Mikel Arteta,permanent,0.9
2019/20,2019-12-29,Arsenal,Chelsea,Home,1,2,0,0.79,1.5,Mikel Arteta,permanent,0.8
2019/20,2020-01-01,Arsenal,Man United,Home,2,0,3,1.91,0.72,Mikel Arteta,permanent,1.0
2019/20,2020-01-11,Arsenal,Crystal Palace,Away,1,1,1,1.44,0.32,Mikel Arteta,permanent,1.1
2019/20,2020-01-18,Arsenal,Sheffield United,Home,1,1,1,1.23,1.18,Mikel Arteta,permanent,1.1
2019/20,2020-01-21,Arsenal,Chelsea,Away,2,2,1,0.57,3.39,Mikel Arteta,permanent,1.1
2019/20,2020-02-02,Arsenal,Burnley,Away,0,0,1,1.48,2.25,Mikel Arteta,permanent,1.2
2019/20,2020-02-16,Arsenal,Newcastle,Home,4,0,3,3.02,1.17,Mikel Arteta,permanent,1.2
2019/20,2020-02-23,Arsenal,Everton,Home,3,2,3,1.34,2.66,Mikel Arteta,permanent,1.5
2019/20,2020-03-07,Arsenal,West Ham,Home,1,0,3,1.56,1.62,Mikel Arteta,permanent,1.7
2019/20,2020-06-17,Arsenal,Man City,Away,0,3,0,0.5,2.74,Mikel Arteta,permanent,1.6
2019/20,2020-06-20,Arsenal,Brighton,Away,1,2,0,0.7,0.67,Mikel Arteta,permanent,1.6
2019/20,2020-06-25,Arsenal,Southampton,Away,2,0,3,2.19,0.74,Mikel Arteta,permanent,1.6
2019/20,2020-07-01,Arsenal,Norwich,Home,4,0,3,1.76,0.15,Mikel Arteta,permanent,1.8
2019/20,2020-07-04,Arsenal,Wolves,Away,2,0,3,1.28,0.99,Mikel Arteta,permanent,2.0
2019/20,2020-07-07,Arsenal,Leicester,Home,1,1,1,1.29,1.0,Mikel Arteta,permanent,2.0
2019/20,2020-07-12,Arsenal,Tottenham,Away,1,2,0,0.69,1.82,Mikel Arteta,permanent,1.9
2019/20,2020-07-15,Arsenal,Liverpool,Home,2,1,3,1.32,2.22,Mikel Arteta,permanent,1.9
2019/20,2020-07-21,Arsenal,Aston Villa,Away,0,1,0,0.74,0.57,Mikel Arteta,permanent,1.6
2019/20,2020-07-26,Arsenal,Watford,Home,3,2,3,1.95,3.92,Mikel Arteta,permanent,1.6
2020/21,2020-09-12,Arsenal,Fulham,Away,3,0,3,2.16,0.13,Mikel Arteta,permanent,1.9
2020/21,2020-09-19,Arsenal,West Ham,Home,2,1,3,1.33,2.06,Mikel Arteta,permanent,2.2
2020/21,2020-09-28,Arsenal,Liverpool,Away,1,3,0,1.18,2.74,Mikel Arteta,permanent,1.9
2020/21,2020-10-04,Arsenal,Sheffield United,Home,2,1,3,0.67,0.14,Mikel Arteta,permanent,1.9
2020/21,2020-10-17,Arsenal,Man City,Away,0,1,0,0.84,1.43,Mikel Arteta,permanent,1.6
2020/21,2020-10-25,Arsenal,Leicester,Home,0,1,0,0.74,0.74,Mikel Arteta,permanent,1.5
2020/21,2020-11-01,Arsenal,Man United,Away,1,0,3,1.0,0.39,Mikel Arteta,permanent,1.8
